Repository,File Name,Class,Start Line,End Line,Displacement,Level
00b566ae1862f6d43fc5aa849c7dc623a9753630,00b566ae1862f6d43fc5aa849c7dc623a9753630_archive-cdx_1665ed32_20181231_050501_before_1.py,Simple If statements,29,30,2,A1
00b566ae1862f6d43fc5aa849c7dc623a9753630,00b566ae1862f6d43fc5aa849c7dc623a9753630_archive-cdx_1665ed32_20181231_050501_before_1.py,Simple If statements,23,23,3,A1
00b566ae1862f6d43fc5aa849c7dc623a9753630,00b566ae1862f6d43fc5aa849c7dc623a9753630_archive-cdx_1665ed32_20181231_050501_before_1.py,Simple For Loop,22,23,2,A1
00b566ae1862f6d43fc5aa849c7dc623a9753630,00b566ae1862f6d43fc5aa849c7dc623a9753630_archive-cdx_1665ed32_20181231_050501_before_1.py,Function with Simple argument with Default argument with ** argument,8,24,1,B1
00b566ae1862f6d43fc5aa849c7dc623a9753630,00b566ae1862f6d43fc5aa849c7dc623a9753630_archive-cdx_1665ed32_20181231_050501_before_1.py,Function with Simple argument,25,26,1,A1
00b566ae1862f6d43fc5aa849c7dc623a9753630,00b566ae1862f6d43fc5aa849c7dc623a9753630_archive-cdx_1665ed32_20181231_050501_before_1.py,Function with Simple argument,28,33,1,A1
00b566ae1862f6d43fc5aa849c7dc623a9753630,00b566ae1862f6d43fc5aa849c7dc623a9753630_archive-cdx_1665ed32_20181231_050501_before_1.py,Lambda,12,12,29,B1
00b566ae1862f6d43fc5aa849c7dc623a9753630,00b566ae1862f6d43fc5aa849c7dc623a9753630_archive-cdx_1665ed32_20181231_050501_before_1.py,Return,26,26,2,A1
00b566ae1862f6d43fc5aa849c7dc623a9753630,00b566ae1862f6d43fc5aa849c7dc623a9753630_archive-cdx_1665ed32_20181231_050501_before_1.py,Return,33,33,2,A1
00b566ae1862f6d43fc5aa849c7dc623a9753630,00b566ae1862f6d43fc5aa849c7dc623a9753630_archive-cdx_1665ed32_20181231_050501_before_1.py,Return,30,30,3,A1
00b566ae1862f6d43fc5aa849c7dc623a9753630,00b566ae1862f6d43fc5aa849c7dc623a9753630_archive-cdx_1665ed32_20181231_050501_before_1.py,Simple Class  Using the constructor method --> __init__,7,33,0,B1
2697c3752162de133a19ec22fa8e13101f4b469e,2697c3752162de133a19ec22fa8e13101f4b469e_archive-cdx_1665ed32_20181231_034228_after_1.py,Simple List,48,71,16,A1
2697c3752162de133a19ec22fa8e13101f4b469e,2697c3752162de133a19ec22fa8e13101f4b469e_archive-cdx_1665ed32_20181231_034228_after_1.py,Simple List,96,96,21,A1
2697c3752162de133a19ec22fa8e13101f4b469e,2697c3752162de133a19ec22fa8e13101f4b469e_archive-cdx_1665ed32_20181231_034228_after_1.py,Simple List,88,88,35,A1
2697c3752162de133a19ec22fa8e13101f4b469e,2697c3752162de133a19ec22fa8e13101f4b469e_archive-cdx_1665ed32_20181231_034228_after_1.py,Simple Dictionary,149,152,17,A2
2697c3752162de133a19ec22fa8e13101f4b469e,2697c3752162de133a19ec22fa8e13101f4b469e_archive-cdx_1665ed32_20181231_034228_after_1.py,Files --> 'open' call function,7,7,5,A2
2697c3752162de133a19ec22fa8e13101f4b469e,2697c3752162de133a19ec22fa8e13101f4b469e_archive-cdx_1665ed32_20181231_034228_after_1.py,Files --> 'read' call function,8,8,23,A2
2697c3752162de133a19ec22fa8e13101f4b469e,2697c3752162de133a19ec22fa8e13101f4b469e_archive-cdx_1665ed32_20181231_034228_after_1.py,Simple Atributte,5,5,7,A2
2697c3752162de133a19ec22fa8e13101f4b469e,2697c3752162de133a19ec22fa8e13101f4b469e_archive-cdx_1665ed32_20181231_034228_after_1.py,Simple Atributte,5,5,20,A2
2697c3752162de133a19ec22fa8e13101f4b469e,2697c3752162de133a19ec22fa8e13101f4b469e_archive-cdx_1665ed32_20181231_034228_after_1.py,Simple Atributte,8,8,23,A2
2697c3752162de133a19ec22fa8e13101f4b469e,2697c3752162de133a19ec22fa8e13101f4b469e_archive-cdx_1665ed32_20181231_034228_after_1.py,Simple Atributte,7,7,10,A2
2697c3752162de133a19ec22fa8e13101f4b469e,2697c3752162de133a19ec22fa8e13101f4b469e_archive-cdx_1665ed32_20181231_034228_after_1.py,Simple Assignment,5,5,0,A1
2697c3752162de133a19ec22fa8e13101f4b469e,2697c3752162de133a19ec22fa8e13101f4b469e_archive-cdx_1665ed32_20181231_034228_after_1.py,Simple Assignment,8,8,4,A1
2697c3752162de133a19ec22fa8e13101f4b469e,2697c3752162de133a19ec22fa8e13101f4b469e_archive-cdx_1665ed32_20181231_034228_after_1.py,From,1,1,0,A2
2697c3752162de133a19ec22fa8e13101f4b469e,2697c3752162de133a19ec22fa8e13101f4b469e_archive-cdx_1665ed32_20181231_034228_after_1.py,From,2,2,0,A2
2697c3752162de133a19ec22fa8e13101f4b469e,2697c3752162de133a19ec22fa8e13101f4b469e_archive-cdx_1665ed32_20181231_034228_after_1.py,From,3,3,0,A2
2697c3752162de133a19ec22fa8e13101f4b469e,2697c3752162de133a19ec22fa8e13101f4b469e_archive-cdx_1665ed32_20181231_034228_after_1.py,With,7,8,0,B1
2697c3752162de133a19ec22fa8e13101f4b469e,2697c3752162de133a19ec22fa8e13101f4b469e_archive-cdx_1665ed32_20181231_034228_before_1.py,Simple List,48,71,16,A1
